"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20"
547382,"Director of Analytics","Meta","Anywhere","Full-time","336500.0","2023-08-23"
552322,"Associate Director- Data Insights","AT&T","Anywhere","Full-time","255829.5","2023-06-18"
99305,"Data Analyst, Marketing","Pinterest Job Advertisements","Anywhere","Full-time","232423.0","2023-12-05"
1021647,"Data Analyst (Hybrid/Remote)","Uclahealthcareers","Anywhere","Full-time","217000.0","2023-01-17"
168310,"Principal Data Analyst (Remote)","SmartAsset","Anywhere","Full-time","205000.0","2023-08-09"
731368,"Director, Data Analyst - HYBRID","Inclusively","Anywhere","Full-time","189309.0","2023-12-07"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09"
